"region";"spp_name";"latin_name";"rfmo";"rfmo_stock_id";"x3a_code";"fides_area";"area";"area_bis";"tac_area_description";"comments";;
"North-East Atlantic";"Smoothhead";"Alepocephalus bairdii";"ICES";;"ALC";"No TAC";"6, 12";"27_6,27_12";;;;
"North-East Atlantic";"Sand eel";"Ammodytidae";"ICES";;"SAN";"No TAC";"6a";"27_6_A";"??";;;
"North-East Atlantic";"European Eel";"Anguilla anguilla";"ICES";;"ELE";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";;;;
"North-East Atlantic";"Black scabbardfish";"Aphanopus carbo";"ICES";;"BSF";"56712-";"5, 6, 7, 12";"27_5,27_6,27_7,27_12";;"FIDES match";;
"North-East Atlantic";"Black scabbardfish";"Aphanopus carbo";"ICES";;"BSF";"8910-";"9, 10, 13";"27_9,27_10,27_13";;"FIDES match but difference with area";;
"North-East Atlantic";"Deep water catsharks";"Apristurus spp.";"ICES";;"API";"No TAC";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_8,27_9,27_10";;;;
"North-East Atlantic";"Greater silver smelt";"Argentina silus";"ICES";;"ARU";"567.";"5, 6, 7";"27_5,27_6,27_7";;"FIDES match";;
"North-East Atlantic";"Meagre";"Argyrosomus regius";"ICES";;"MGR";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";;;;
"North-East Atlantic";"Red gurnard";"Aspitrigla cuculus";"ICES";;"GUR";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";;;;
"North-East Atlantic";"Alfonsinos";"Beryx spp";"ICES";;"ALF";"3X14-";"mars-14";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_11,27_12,27_14";;"FIDES match";;
"North-East Atlantic";"Tusk";"Brosme brosme";"ICES";;"USK";"567EI.";"5, 6, 7";"27_5,27_6,27_7";;"FIDES match";;
"North-East Atlantic";"Edible crab";"Cancer pagurus";"ICES";;"CRE";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";;;;
"North-East Atlantic";"Boarfish";"Capros aper";"ICES";;"BOR";"678-";"6, 7, 8";"27_6,27_7,27_8";"EU and international waters of VI, VII and VIII";"FIDES match";;
"North-East Atlantic";"Gulper shark";"Centrophorus spp.";"ICES";;"CWO";"No TAC";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10";;;;
